         4282851 function calls (4270684 primitive calls) in 33.662 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       29    0.000    0.000    0.000    0.000 class_Player.py:100(prepare_weapon)
        1    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
      128    0.000    0.000    0.000    0.000 _parser.py:371(_escape)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      369    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _meta.py:1(<module>)
      4/3    0.000    0.000    0.000    0.000 typing.py:574(__getitem__)
     1046    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      979    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       10    0.000    0.000    0.000    0.000 typing.py:2199(__init_subclass__)
     1006    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
        1    0.000    0.000    0.000    0.000 pkgdata.py:32(resource_stream)
       91    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1380(_get_parent_path)
     1226    0.000    0.000    0.000    0.000 sprite.py:1441(__contains__)
       86    0.000    0.000    0.000    0.000 Image.py:3388(_decompression_bomb_check)
       76    0.000    0.000    0.000    0.000 PngImagePlugin.py:530(chunk_sRGB)
      430    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       28    0.000    0.000    0.000    0.000 enum.py:942(_get_mixins_)
      162    0.000    0.000    0.000    0.000 class_SpriteGroups.py:24(__init__)
        1    0.000    0.000    0.000    0.000 inspect.py:3342(signature)
       14    0.000    0.000    0.000    0.000 lexer.py:43(__new__)
       81    0.000    0.000    0.000    0.000 style.py:162(__iter__)
        7    0.000    0.000    0.000    0.000 typing.py:1423(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:183(sub)
        3    0.000    0.000    0.000    0.000 typing.py:753(Union)
        1    0.000    0.000    0.000    0.000 inspect.py:3066(from_callable)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      716    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       80    0.000    0.000    0.000    0.000 terminal256.py:47(color_string)
        1    0.000    0.000    0.000    0.000 _adapters.py:40(CompatibilityFiles)
      3/1    0.000    0.000    0.000    0.000 inspect.py:2477(_signature_from_callable)
       86    0.000    0.000    0.000    0.000 ImagePalette.py:42(__init__)
       86    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      769    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       60    0.000    0.000    0.000    0.000 _compiler.py:470(_get_charset_prefix)
      407    0.000    0.000    0.000    0.000 _parser.py:82(groups)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      121    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
      553    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 python.py:25(PythonLexer)
      368    0.000    0.000    0.000    0.000 enum.py:69(_is_internal_class)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1363(__init__)
      147    0.000    0.000    0.000    0.000 TiffTags.py:35(__new__)
      231    0.000    0.000    0.000    0.000 sprite.py:394(add_internal)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      534    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      160    0.000    0.000    0.000    0.000 terminal256.py:42(escape)
        1    0.000    0.000    0.000    0.000 regexopt.py:1(<module>)
       86    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        2    0.000    0.000    0.000    0.000 readers.py:23(__init__)
       27    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      695    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      512    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      385    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       94    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       80    0.000    0.000    0.000    0.000 terminal256.py:87(reset_string)
       94    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
       80    0.000    0.000    0.000    0.000 style.py:126(style_for_token)
      104    0.000    0.000    0.000    0.000 enum.py:1152(__new__)
       86    0.000    0.000    0.000    0.000 BmpImagePlugin.py:52(_accept)
        1    0.000    0.000    0.000    0.000 ImageOps.py:1(<module>)
        1    0.000    0.000    0.000    0.000 locals.py:1(<module>)
      440    0.000    0.000    0.000    0.000 __init__.py:1764(isEnabledFor)
       28    0.000    0.000    0.000    0.000 enum.py:983(_find_data_type_)
       62    0.000    0.000    0.000    0.000 random.py:498(uniform)
        1    0.000    0.000    0.000    0.000 _abc.py:476(is_file)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      695    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
    26/20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1407(__len__)
       35    0.000    0.000    0.000    0.000 class_Weapons.py:6(load_weapons)
      390    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        4    0.000    0.000    0.000    0.000 _local.py:289(drive)
        1    0.000    0.000    0.000    0.000 _position_node_finder.py:109(PositionNodeFinder)
        6    0.000    0.000    0.000    0.000 abc.py:41(_register)
        1    0.000    0.000    0.000    0.000 _local.py:510(stat)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       10    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
      235    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 _local.py:329(parent)
      396    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       30    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 {method 'copy' of 'pygame.surface.Surface' objects}
       52    0.000    0.000    0.000    0.000 typing.py:1368(__setattr__)
       25    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
       10    0.000    0.000    0.000    0.000 typing.py:2073(__init__)
      147    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
      233    0.000    0.000    0.000    0.000 sprite.py:171(add_internal)
        4    0.000    0.000    0.000    0.000 enum.py:1592(__or__)
        3    0.000    0.000    0.000    0.000 typing.py:1634(__getitem__)
      246    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      188    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      172    0.000    0.000    0.000    0.000 PngImagePlugin.py:742(_accept)
      328    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 Image.py:145(Transpose)
      162    0.000    0.000    0.000    0.000 class_SpriteGroups.py:19(__new__)
      442    0.000    0.000    0.000    0.000 enum.py:1333(value)
       91    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1370(_find_parent_path_names)
        1    0.000    0.000    0.000    0.000 _local.py:529(open)
      184    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
      249    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       98    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      228    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
      294    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 inspect.py:2373(_signature_from_function)
        8    0.000    0.000    0.000    0.000 typing.py:1307(__init__)
        1    0.000    0.000    0.000    0.000 Image.py:165(Resampling)
      115    0.000    0.000    0.000    0.000 _virtualenv.py:52(find_spec)
        1    0.000    0.000    0.000    0.000 ExifTags.py:344(Interop)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
        6    0.000    0.000    0.000    0.000 typing.py:1927(_get_protocol_attrs)
        1    0.000    0.000    0.000    0.000 ExifTags.py:352(IFD)
       27    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        1    0.000    0.000    0.000    0.000 __init__.py:97(SymbolFilter)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
        9    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
       14    0.000    0.000    0.000    0.000 enum.py:1010(_find_new_)
      222    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       10    0.000    0.000    0.000    0.000 typing.py:1256(_generic_init_subclass)
      114    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        4    0.000    0.000    0.000    0.000 _local.py:257(_parse_path)
      318    0.000    0.000    0.000    0.000 {built-in method _operator.index}
       80    0.000    0.000    0.000    0.000 token.py:43(__repr__)
        3    0.000    0.000    0.000    0.000 _mapping.py:1(<module>)
      149    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       94    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
        3    0.000    0.000    0.000    0.000 typing.py:1658(copy_with)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
       27    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        2    0.000    0.000    0.000    0.000 _local.py:166(__fspath__)
      156    0.000    0.000    0.000    0.000 {method '__contains__' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 lexer.py:602(get_tokendefs)
        1    0.000    0.000    0.000    0.000 Image.py:184(Dither)
        3    0.000    0.000    0.000    0.000 enum.py:1455(_missing_)
        1    0.000    0.000    0.000    0.000 inspect.py:3284(__str__)
        2    0.000    0.000    0.000    0.000 _local.py:227(__str__)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:156(Transform)
        2    0.000    0.000    0.000    0.000 functools.py:930(wrapper)
        1    0.000    0.000    0.000    0.000 inspect.py:3287(format)
        9    0.000    0.000    0.000    0.000 class_Enemies.py:77(pos_weapons_rotation)
       86    0.000    0.000    0.000    0.000 GifImagePlugin.py:69(_accept)
      126    0.000    0.000    0.000    0.000 {method 'rotate' of 'pygame.math.Vector2' objects}
      110    0.000    0.000    0.000    0.000 lexer.py:510(_process_token)
        1    0.000    0.000    0.000    0.000 class_SpriteGroups.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:197(Quantize)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:54(LoadingStrategy)
       43    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
    29/28    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
      336    0.000    0.000    0.000    0.000 enum.py:795(<genexpr>)
       33    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 ImageColor.py:1(<module>)
      123    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       86    0.000    0.000    0.000    0.000 Image.py:549(__init__)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        8    0.000    0.000    0.000    0.000 typing.py:260(_collect_type_parameters)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:104(Disposal)
        2    0.000    0.000    0.000    0.000 __init__.py:2128(getLogger)
        1    0.000    0.000    0.000    0.000 _abc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 typing.py:806(Optional)
      123    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       14    0.000    0.000    0.000    0.000 enum.py:932(_check_for_existing_members_)
      140    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
    29/28    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        6    0.000    0.000    0.000    0.000 dataclasses.py:768(_get_field)
        4    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
      172    0.000    0.000    0.000    0.000 ImagePalette.py:56(palette)
        7    0.000    0.000    0.000    0.000 functools.py:504(lru_cache)
       54    0.000    0.000    0.000    0.000 typing.py:1294(_is_dunder)
      344    0.000    0.000    0.000    0.000 Image.py:579(size)
      368    0.000    0.000    0.000    0.000 enum.py:1213(__init__)
       27    0.000    0.000    0.000    0.000 _parser.py:311(_class_escape)
      328    0.000    0.000    0.000    0.000 enum.py:1328(name)
      183    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
       86    0.000    0.000    0.000    0.000 PpmImagePlugin.py:49(_accept)
        1    0.000    0.000    0.000    0.000 python.py:416(Python2Lexer)
       69    0.000    0.000    0.000    0.000 style.py:66(colorformat)
        1    0.000    0.000    0.000    0.000 pstats.py:108(__init__)
      115    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 __init__.py:1361(getLogger)
        6    0.000    0.000    0.000    0.000 inspect.py:2813(__str__)
       82    0.000    0.000    0.000    0.000 token.py:24(__init__)
        1    0.000    0.000    0.000    0.000 typing.py:1207(_generic_class_getitem)
        1    0.000    0.000    0.000    0.000 dataclasses.py:610(_init_fn)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:125(Blend)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method pygame.base.init}
      184    0.000    0.000    0.000    0.000 regexopt.py:72(<genexpr>)
        1    0.000    0.000    0.000    0.000 python.py:830(CythonLexer)
        1    0.000    0.000    0.000    0.000 Image.py:192(Palette)
        6    0.000    0.000    0.000    0.000 _local.py:498(__init__)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
       11    0.000    0.000    0.000    0.000 typing.py:789(<genexpr>)
      368    0.000    0.000    0.000    0.000 enum.py:248(__init__)
      197    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
        1    0.000    0.000    0.000    0.000 pstats.py:118(init)
       86    0.000    0.000    0.000    0.000 JpegImagePlugin.py:326(_accept)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 filter.py:1(<module>)
       94    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
        1    0.000    0.000    0.000    0.000 icecream.py:160(singledispatch)
        1    0.000    0.000    0.000    0.000 class_CheckEvents.py:1(<module>)
        6    0.000    0.000    0.000    0.000 class_Enemies.py:74(prepare_weapon)
       10    0.000    0.000    0.000    0.000 enum.py:1445(_iter_member_by_def_)
       14    0.000    0.000    0.000    0.000 enum.py:346(__init__)
        4    0.000    0.000    0.000    0.000 _abc.py:130(with_segments)
        1    0.000    0.000    0.000    0.000 class_SpriteGroups.py:4(SpriteGroups)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _common.py:80(_)
        5    0.000    0.000    0.000    0.000 _compiler.py:394(_bytes_to_codes)
        8    0.000    0.000    0.000    0.000 sprite.py:651(__init__)
        1    0.000    0.000    0.000    0.000 executing.py:122(Source)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1017(create_module)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(<genexpr>)
        2    0.000    0.000    0.000    0.000 _local.py:245(_from_parsed_parts)
        7    0.000    0.000    0.000    0.000 inspect.py:2726(__init__)
        3    0.000    0.000    0.000    0.000 Image.py:3717(register_extensions)
        1    0.000    0.000    0.000    0.000 pstats.py:137(load_stats)
       64    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       86    0.000    0.000    0.000    0.000 PngImagePlugin.py:157(__init__)
        9    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      160    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
       33    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:71(import_module)
        6    0.000    0.000    0.000    0.000 _local.py:117(__init__)
        3    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
       62    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 class_Weapons.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _local.py:277(_raw_path)
        1    0.000    0.000    0.000    0.000 Image.py:3826(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 class_MiniMap.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _adapters.py:163(wrap_spec)
        1    0.000    0.000    0.000    0.000 __init__.py:654(DistributionFinder)
        1    0.000    0.000    0.000    0.000 __init__.py:716(FastPath)
        1    0.000    0.000    0.000    0.000 _meta.py:11(PackageMetadata)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(__init__)
        1    0.000    0.000    0.000    0.000 cProfile.py:54(create_stats)
        1    0.000    0.000    0.000    0.000 python.py:639(_PythonConsoleLexerBase)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        2    0.000    0.000    0.000    0.000 functools.py:844(dispatch)
        1    0.000    0.000    0.000    0.000 coloring.py:20(SolarizedDark)
        1    0.000    0.000    0.000    0.000 typing.py:1623(__init__)
        2    0.000    0.000    0.000    0.000 inspect.py:3014(__init__)
        2    0.000    0.000    0.000    0.000 class_LevelsGame.py:22(__init__)
        3    0.000    0.000    0.000    0.000 inspect.py:2001(_signature_get_user_defined_method)
       80    0.000    0.000    0.000    0.000 lexer.py:385(bygroups)
        1    0.000    0.000    0.000    0.000 class_LevelsGame.py:1(<module>)
       33    0.000    0.000    0.000    0.000 python.py:226(<genexpr>)
        1    0.000    0.000    0.000    0.000 inspect.py:2095(_signature_bound_method)
        1    0.000    0.000    0.000    0.000 pprint.py:106(PrettyPrinter)
        9    0.000    0.000    0.000    0.000 _parser.py:894(_parse_flags)
        7    0.000    0.000    0.000    0.000 regexopt.py:22(make_charset)
        2    0.000    0.000    0.000    0.000 _local.py:252(_from_parsed_string)
        1    0.000    0.000    0.000    0.000 lexer.py:145(__init__)
        1    0.000    0.000    0.000    0.000 function_guards_collision.py:1(<module>)
       14    0.000    0.000    0.000    0.000 Image.py:3706(register_extension)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1375(_gcd_import)
        1    0.000    0.000    0.000    0.000 functools.py:826(singledispatch)
        7    0.000    0.000    0.000    0.000 inspect.py:1434(formatannotation)
        2    0.000    0.000    0.000    0.000 _local.py:140(joinpath)
        1    0.000    0.000    0.000    0.000 class_Checks.py:1(<module>)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        2    0.000    0.000    0.000    0.000 inspect.py:176(get_annotations)
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:815(__contains__)
       28    0.000    0.000    0.000    0.000 lexer.py:350(__new__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 function_enemies_collision.py:1(<module>)
       74    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       80    0.000    0.000    0.000    0.000 terminal256.py:35(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        6    0.000    0.000    0.000    0.000 typing.py:1639(<genexpr>)
        6    0.000    0.000    0.000    0.000 Image.py:3641(register_open)
       86    0.000    0.000    0.000    0.000 typing.py:2371(cast)
       14    0.000    0.000    0.000    0.000 enum.py:961(_find_data_repr_)
        1    0.000    0.000    0.000    0.000 console.py:1(<module>)
       10    0.000    0.000    0.000    0.000 enum.py:1435(_iter_member_by_value_)
        3    0.000    0.000    0.000    0.000 dataclasses.py:437(add_fn)
        2    0.000    0.000    0.000    0.000 __init__.py:1409(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:352(Distribution)
        1    0.000    0.000    0.000    0.000 contextlib.py:276(contextmanager)
       27    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       43    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 python.py:1009(DgLexer)
       86    0.000    0.000    0.000    0.000 Image.py:583(mode)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1209(get_filename)
        4    0.000    0.000    0.000    0.000 typing.py:2696(overload)
       81    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
       46    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        6    0.000    0.000    0.000    0.000 class_Enemies.py:169(decrease_hp)
        3    0.000    0.000    0.000    0.000 <frozen os>:711(__getitem__)
        1    0.000    0.000    0.000    0.000 function_player_collision.py:1(<module>)
        1    0.000    0.000    0.000    0.000 JpegPresets.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1477(__init__)
        1    0.000    0.000    0.000    0.000 ImageChops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        5    0.000    0.000    0.000    0.000 types.py:334(__getattr__)
        1    0.000    0.000    0.000    0.000 python.py:782(Python2TracebackLexer)
        2    0.000    0.000    0.000    0.000 <frozen ntpath>:99(join)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        1    0.000    0.000    0.000    0.000 python.py:725(PythonTracebackLexer)
        1    0.000    0.000    0.000    0.000 inspect.py:3082(replace)
        1    0.000    0.000    0.000    0.000 python.py:1108(NumPyLexer)
        2    0.000    0.000    0.000    0.000 inspect.py:1816(getattr_static)
        3    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
        4    0.000    0.000    0.000    0.000 typing.py:1122(_is_unpacked_typevartuple)
       17    0.000    0.000    0.000    0.000 {method 'find' of 'bytes' objects}
       24    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 formatter.py:83(__init__)
       36    0.000    0.000    0.000    0.000 __init__.py:432(<genexpr>)
        1    0.000    0.000    0.000    0.000 class_Enemies.py:23(Enemy)
        6    0.000    0.000    0.000    0.000 dataclasses.py:531(_field_init)
        1    0.000    0.000    0.000    0.000 __init__.py:1302(ZipFile)
       11    0.000    0.000    0.000    0.000 executing.py:499(<genexpr>)
       40    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:78(GifImageFile)
        1    0.000    0.000    0.000    0.000 _deprecate.py:1(<module>)
        2    0.000    0.000    0.000    0.000 weakref.py:414(__getitem__)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
       17    0.000    0.000    0.000    0.000 class_Guardian.py:43(decrease_level)
        6    0.000    0.000    0.000    0.000 _local.py:505(__new__)
        1    0.000    0.000    0.000    0.000 ImageMath.py:27(_Operand)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:30(ImagePalette)
        6    0.000    0.000    0.000    0.000 dataclasses.py:383(field)
       28    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1326(exec_module)
       13    0.000    0.000    0.000    0.000 {method 'get_height' of 'pygame.surface.Surface' objects}
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:63(BmpImageFile)
        5    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       14    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:203(Path)
        3    0.000    0.000    0.000    0.000 typing.py:351(_deduplicate)
        4    0.000    0.000    0.000    0.000 _local.py:237(_format_parsed_parts)
        1    0.000    0.000    0.000    0.000 readers.py:64(MultiplexedPath)
        5    0.000    0.000    0.000    0.000 dataclasses.py:865(_set_new_attribute)
        4    0.000    0.000    0.000    0.000 util.py:122(make_analysator)
        2    0.000    0.000    0.000    0.000 inspect.py:1777(_check_class)
        2    0.000    0.000    0.000    0.000 class_LevelsGame.py:17(__new__)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:379(PngStream)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        3    0.000    0.000    0.000    0.000 <frozen os>:785(encodekey)
        1    0.000    0.000    0.000    0.000 __init__.py:870(MetadataPathFinder)
        2    0.000    0.000    0.000    0.000 __init__.py:691(__init__)
        1    0.000    0.000    0.000    0.000 Image.py:3867(Exif)
        1    0.000    0.000    0.000    0.000 readers.py:137(NamespaceReader)
        1    0.000    0.000    0.000    0.000 __init__.py:374(ZipInfo)
        1    0.000    0.000    0.000    0.000 dataclasses.py:407(_fields_in_init_order)
        6    0.000    0.000    0.000    0.000 Image.py:3664(register_mime)
       39    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 abc.py:96(InspectLoader)
        2    0.000    0.000    0.000    0.000 inspect.py:764(unwrap)
        8    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot_ex}
        1    0.000    0.000    0.000    0.000 __init__.py:102(CompleteDirs)
        1    0.000    0.000    0.000    0.000 _binary.py:1(<module>)
        6    0.000    0.000    0.000    0.000 Image.py:3679(register_save)
       35    0.000    0.000    0.000    0.000 {method 'islower' of 'str' objects}
        8    0.000    0.000    0.000    0.000 enum.py:791(__iter__)
        5    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        2    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
       10    0.000    0.000    0.000    0.000 enum.py:115(_iter_bits_lsb)
        4    0.000    0.000    0.000    0.000 util.py:53(get_bool_opt)
        1    0.000    0.000    0.000    0.000 class_ScreenGame.py:9(ScreenGame)
        1    0.000    0.000    0.000    0.000 icecream.py:182(IceCreamDebugger)
       10    0.000    0.000    0.000    0.000 sprite.py:377(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:192(_Extra)
        1    0.000    0.000    0.000    0.000 glob.py:8(Translator)
        2    0.000    0.000    0.000    0.000 sprite.py:1387(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:250(EntryPoints)
       14    0.000    0.000    0.000    0.000 typing.py:2204(<genexpr>)
        1    0.000    0.000    0.000    0.000 inspect.py:2121(_signature_is_builtin)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:156(ChunkStream)
       10    0.000    0.000    0.000    0.000 {method 'islower' of 'bytes' objects}
        6    0.000    0.000    0.000    0.000 typing.py:3112(_namedtuple_mro_entries)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:24(Iterator)
        6    0.000    0.000    0.000    0.000 dataclasses.py:691(_is_classvar)
        1    0.000    0.000    0.000    0.000 class_Player.py:22(Player)
        2    0.000    0.000    0.000    0.000 _adapters.py:12(__init__)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:335(JpegImageFile)
        1    0.000    0.000    0.000    0.000 reprlib.py:12(decorating_function)
       13    0.000    0.000    0.000    0.000 {method 'get_width' of 'pygame.surface.Surface' objects}
        2    0.000    0.000    0.000    0.000 {built-in method pygame.math.lerp}
        1    0.000    0.000    0.000    0.000 <frozen importlib.util>:235(LazyLoader)
       18    0.000    0.000    0.000    0.000 lexer.py:489(__init__)
        1    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 {built-in method pygame.mixer.pre_init}
        8    0.000    0.000    0.000    0.000 inspect.py:3061(<genexpr>)
        1    0.000    0.000    0.000    0.000 class_Game.py:19(Game)
